dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
arc_ca_challenge	6.792	14.383	0.371	0.262	2.543	0.192	0.288	0.0
arc_ca_easy	17.971	4.283	0.956	0.307	2.155	0.284	0.411	0.0
catalanqa	18.774	24.906	0.93	0.356	12.198	0.371	0.72	46.666
catbelebele	-1.889	281.684	-0.596	0.385	0.692	0.028	0.111	53.333
catcola	0.106	2.808	-0.021	0.34	46.325	0.008	0.017	66.666
cocoteros_va	1.2	1.732	0.123	0.667	67.416	0.0	0.027	0.0
copa_ca	19.8	52.337	0.952	0.389	2.241	0.5	0.725	40.0
coqcat	36.342	51.2	0.986	0.511	5.911	0.0	0.0	26.667
flores_en-ca	18.845	2.39	0.938	0.333	68.534	0.683	1.889	40.0
mgsm_direct_ca	0.012	1.848	0.438	0.397	53.508	0.001	0.004	40.0
openbookqa_ca	8.8	11.144	0.757	0.511	2.52	0.2	0.25	0.0
parafraseja	9.85	13.804	0.789	0.093	1.275	0.556	1.413	0.0
paws_ca	4.75	12.733	-0.051	0.433	1.464	1.712	2.656	13.334
piqa_ca	16.594	6.943	0.92	0.249	1.015	0.082	0.17	0.0
siqa_ca	4.213	15.259	0.76	0.36	1.277	0.179	0.281	0.0
teca	8.741	9.517	0.717	0.644	2.697	0.236	0.296	0.0
veritasqa_ca_gen	5.678	2.838	0.356	0.556	60.132	0.338	0.932	36.666
veritasqa_ca_mc1	76.7	2.784	0.582	0.367	0.092	32.011	33.782	0.0
veritasqa_ca_mc2	79.316	3.849	0.627	0.756	1.929	22.091	23.545	0.0
wnli_ca	3.521	20.344	-0.343	0.457	8.255	1.408	2.817	20.0
xnli_ca	15.094	5.841	0.824	0.244	1.584	0.111	0.211	0.0
xquad_ca	15.442	5.92	0.887	0.311	18.271	0.341	0.605	16.666
xstorycloze_ca	10.556	9.898	0.918	0.067	1.221	4.55	5.311	0.0
