dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
arc_eu_challenge	7.645	14.222	0.354	0.574	3.049	0.341	0.725	33.334
arc_eu_easy	18.013	4.557	0.799	0.899	1.621	0.621	0.941	0.0
eus_exams_eu	1.002	58.205	0.164	0.406	1.264	0.186	0.32	43.334
eus_proficiency	0.305	33.559	-0.201	0.271	1.292	0.251	0.389	53.333
eus_reading	5.114	27.399	-0.105	0.303	4.009	0.0	0.284	66.666
eus_trivia	4.329	21.853	0.063	0.247	1.843	0.481	0.714	26.667
eusbelebele	3.333	10.381	-0.156	0.573	2.336	0.694	0.847	36.667
flores_en-eu	0.297	3.275	0.457	0.6	34.813	0.02	0.029	46.666
include_basque	2.4	26.859	0.31	0.329	4.307	0.6	0.825	53.333
mgsm_direct_eu	0.0	0.0		0.067		0.0	0.0	6.666
paws_eu	4.965	21.351	-0.062	0.659	2.401	0.84	1.247	23.333
piqa_eu	9.749	12.253	0.714	0.8	0.871	0.654	1.382	0.0
wnli_eu	-50.0	0.0		0.0		0.0	0.0	0.0
xcopa_eu	8.8	66.78	0.575	0.861	1.687	0.4	0.6	60.0
xnli_eu_native	5.991	22.292	0.171	0.711	3.342	0.483	0.785	26.666
xstorycloze_eu	6.056	16.853	0.504	0.788	0.772	1.737	2.16	0.0
