dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
arc_challenge_fi_fbv2_cf	5.802	40.768	0.734	0.243	3.016	0.341	0.48	46.667
arc_challenge_fi_fbv2_mcf	5.29	43.406	0.151	0.325	2.373	0.405	0.576	60.0
belebele_fin_cf_fbv2	9.111	64.91	0.892	0.341	2.166	0.333	0.389	66.666
belebele_fin_mcf_fbv2	-0.889	73.01	0.197	0.645	2.95	0.25	0.347	46.666
finbench_analogies_cf_fbv2	70.0	13.723	0.923	0.472	2.687	2.115	2.404	43.334
finbench_analogies_mcf_fbv2	42.308	11.743	0.562	0.049	4.46	2.692	3.846	36.666
finbench_emotions_cf_fbv2	26.875	7.9	0.509	-0.032	9.111	2.812	3.906	63.334
finbench_emotions_mcf_fbv2	17.5	5.267	0.428	0.224	9.245	2.188	3.203	50.0
finbench_empirical_judgments_cf_fbv2	3.064	43.603	0.377	0.154	3.878	0.0	0.505	60.0
finbench_empirical_judgments_mcf_fbv2	9.124	18.864	0.408	0.301	5.133	1.01	2.02	60.0
finbench_general_knowledge_cf_fbv2	29.557	11.985	0.891	0.198	6.506	1.429	2.322	63.334
finbench_general_knowledge_mcf_fbv2	18.129	9.662	0.613	-0.024	10.451	1.786	2.857	60.0
finbench_hhh_alignment_cf_fbv2	-8.824	162.491	0.679	0.566	1.298	0.452	0.452	56.667
finbench_hhh_alignment_mcf_fbv2	-2.036	30.483	0.035	0.272	4.785	0.905	1.358	66.666
finbench_paraphrase_cf_fbv2	6.5	23.252	-0.094	0.493	4.353	1.25	2.25	80.0
finbench_paraphrase_mcf_fbv2	5.0	19.29	-0.201	0.137	5.44	1.875	2.875	63.334
finbench_similarities_abstraction_cf_fbv2	42.105	15.624	0.84	0.334	4.086	1.316	2.632	60.0
finbench_similarities_abstraction_mcf_fbv2	28.947	7.587	0.718	0.408	9.918	2.632	3.948	53.333
goldenswag_ht_fi_cf_fbv2	8.8	65.095	0.98	0.453	3.705	0.275	0.325	56.666
goldenswag_ht_fi_mcf_fbv2	-4.1	40.019	-0.83	0.366	3.351	0.325	0.5	60.0
