dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
flores_en-gl	0.808	2.115	-0.017	0.822	25.363	0.053	0.108	33.333
galcola	0.037	0.681	-0.256	0.089	87.062	0.01	0.016	56.666
glgbelebele	0.667	122.49	-0.224	0.432	2.374	0.111	0.18	56.666
mgsm_direct_gl	0.0	0.0	0.127	-0.006	273.252	0.0	0.0	13.333
openbookqa_gl	9.8	8.436	0.576	0.4	2.555	1.75	2.4	0.0
parafrases_gl	10.544	15.899	0.176	0.211	4.322	1.956	2.296	6.666
paws_gl	4.6	12.946	0.058	0.201	0.81	1.887	3.031	10.0
veritasqa_gl_gen	11.039	5.057	0.278	0.667	39.249	0.466	0.628	20.0
veritasqa_gl_mc1	74.224	2.604	-0.335	0.8	25.862	17.918	20.998	13.334
veritasqa_gl_mc2	80.125	5.587	0.021	0.756	7.073	9.252	11.264	3.334
