dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
norbelebele	3.0	17.217	-0.307	0.333	2.601	1.153	1.32	46.667
norcommonsenseqa_nno	13.684	5.864	0.029	0.355	9.248	2.369	3.421	23.334
norcommonsenseqa_nob	2.255	8.288	0.022	0.224	2.961	2.417	2.68	30.0
norec_document	16.188	6.439	0.255	0.289	11.23	1.811	2.869	53.334
norec_sentence	2.738	13.925	-0.434	0.657	10.019	1.025	2.198	53.333
noridiom_nno	57.287	2.315	0.949	0.089	11.991	7.513	8.597	0.0
noridiom_nob	43.491	2.023	0.888	0.267	8.176	12.62	13.412	0.0
noropenbookqa_nno	22.222	4.884	0.439	-0.027	5.021	3.611	3.958	30.0
noropenbookqa_nob	17.968	5.643	0.341	0.249	2.351	4.88	5.164	36.666
norquad	20.093	3.979	0.92	0.4	10.641	2.333	2.718	0.0
nortruthfulqa_gen_nno	12.467	2.272	0.644	0.267	12.176	2.248	2.617	23.333
nortruthfulqa_gen_nob	14.764	2.589	0.451	0.4	12.635	2.694	3.161	13.334
nortruthfulqa_mc_nno	52.633	5.277	0.863	0.612	11.144	4.386	5.483	43.334
nortruthfulqa_mc_nob	45.502	7.733	0.898	0.216	7.847	3.407	3.88	30.0
nrk_quiz_qa_nno	4.067	14.231	0.085	0.219	1.964	1.663	1.838	53.334
nrk_quiz_qa_nob	2.59	14.167	0.263	0.153	1.359	0.507	0.687	50.0
tatoeba_eng_nno	14.202	2.012	0.785	0.467	73.611	0.682	1.619	33.334
tatoeba_eng_nob	15.684	1.99	0.915	0.6	61.107	1.026	2.083	33.333
