dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
arc_ca_challenge	9.352	11.472	0.399	0.138	2.763	0.171	0.342	0.0
arc_ca_easy	19.655	4.215	0.647	0.695	2.369	0.294	0.4	0.0
catalanqa	25.05	7.008	0.572	0.624	15.123	0.42	0.756	55.263
catbelebele	0.778	87.332	0.083	0.318	0.775	0.0	0.111	50.0
catcola	0.114	1.706	-0.273	0.27	62.696	0.014	0.022	42.105
cocoteros_va	2.979	2.406	0.044	0.387	51.31	0.046	0.167	31.579
copa_ca	22.2	99.22	0.792	0.529	2.509	0.2	0.425	55.264
coqcat	40.434	48.604	0.799	0.71	9.129	0.293	0.545	52.632
flores_en-ca	20.623	2.341	0.709	0.473	58.918	0.684	1.36	26.316
mgsm_direct_ca	0.012	1.75	0.05	0.368	69.365	0.0	0.002	47.368
openbookqa_ca	8.4	12.08	0.298	0.178	3.385	0.4	0.525	0.0
parafraseja	10.5	13.315	0.439	0.446	1.819	0.962	1.506	0.0
paws_ca	5.0	18.262	-0.114	0.419	3.122	1.625	2.612	23.684
piqa_ca	18.716	6.579	0.822	0.438	1.538	0.055	0.197	0.0
siqa_ca	5.902	14.107	0.542	0.326	1.981	0.179	0.384	0.0
teca	12.756	7.618	0.627	0.377	3.154	0.401	0.667	0.0
veritasqa_ca_gen	20.195	2.586	-0.101	0.538	63.427	0.439	0.773	39.474
veritasqa_ca_mc1	76.7	2.724		0.022	0.055	26.912	30.276	0.0
veritasqa_ca_mc2	83.076	3.774	0.098	0.387	2.694	19.142	21.69	0.0
wnli_ca	10.563	14.469	-0.036	0.316	8.406	1.76	3.521	26.316
xnli_ca	15.977	5.904	0.294	0.047	1.745	0.442	0.763	0.0
xquad_ca	19.723	6.854	0.612	0.452	17.632	0.332	0.548	31.579
xstorycloze_ca	13.666	9.196	0.839	0.411	2.088	3.955	4.542	0.0
