dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
arc_eu_challenge	7.048	20.293	-0.071	0.394	2.631	0.533	0.832	34.21
arc_eu_easy	18.771	4.702	-0.176	0.798	1.655	0.631	0.873	0.0
eus_exams_eu	1.744	50.275	0.31	0.172	1.565	0.217	0.344	50.0
eus_proficiency	0.808	51.858	0.086	0.027	1.4	0.17	0.341	50.0
eus_reading	7.67	17.852	0.202	0.241	5.439	0.284	0.462	52.632
eus_trivia	4.971	33.672	-0.1	0.331	2.312	0.263	0.576	60.526
eusbelebele	3.778	18.932	-0.245	0.234	3.497	0.666	1.0	52.632
flores_en-eu	1.642	4.188	-0.12	0.86	27.548	0.026	0.037	47.368
include_basque	4.2	18.836	-0.157	0.091	3.34	0.45	0.9	42.105
mgsm_direct_eu	0.004	0.0		0.261		0.0	0.0	21.053
paws_eu	3.711	25.645	0.003	0.46	2.619	0.714	1.655	23.684
piqa_eu	12.364	12.11	0.01	0.671	1.291	0.994	1.763	0.0
wnli_eu	-50.0	0.0		0.0		0.0	0.0	0.0
xcopa_eu	10.0	47.423	0.424	0.326	1.745	0.45	0.875	47.368
xnli_eu_native	5.991	15.697	-0.124	0.355	3.579	0.523	0.886	0.0
xstorycloze_eu	9.563	16.262	0.097	0.678	0.985	1.969	2.854	0.0
