dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
cocoteros_es	2.456	1.755	-0.35	0.517	91.848	0.015	0.179	28.947
copa_es	50.2	89.821	0.906	0.353	3.581	0.35	0.4	47.368
escola	0.078	1.245	0.013	0.267	50.931	0.012	0.02	55.263
flores_en-es	21.117	2.185	0.89	0.57	49.971	2.079	3.822	10.526
global_mmlu_spanish	0.516	148.902	0.375	0.447	2.103	0.018	0.056	42.105
include_spanish	3.727	73.122	-0.378	-0.04	1.039	0.0	0.182	47.368
mgsm_direct_es	0.008	1.732	0.221	0.188	169.814	0.0	0.0	5.263
openbookqa_es	12.8	6.963	0.669	0.185	3.92	0.4	0.825	0.0
paws_es	4.75	13.706	0.198	0.481	3.398	2.075	3.137	21.052
spabelebele	-0.556	77.429	0.071	0.184	1.034	0.0	0.056	57.895
veritasqa_es_gen	18.587	2.274	-0.082	0.645	101.597	0.138	0.505	44.736
veritasqa_es_mc1	75.7	2.77	-0.331	0.447	10.609	25.0	29.072	15.79
veritasqa_es_mc2	75.542	4.279	-0.344	0.323	7.326	14.505	17.66	0.0
xnli_es	15.345	6.012	0.517	0.092	2.047	0.824	1.225	0.0
xquad_es	27.047	1.907	0.57	0.355	17.988	4.808	6.358	26.316
xstorycloze_es	14.924	8.166	0.894	0.072	2.457	3.773	4.426	0.0
