dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
cocoteros_es	2.116	1.748	-0.411	0.348	98.309	0.0	0.156	31.579
copa_es	50.2	60.578	0.845	0.57	3.221	0.4	0.6	42.105
escola	0.078	1.58	-0.222	0.245	63.732	0.01	0.018	52.632
flores_en-es	22.225	2.381	0.894	0.957	40.741	2.473	4.688	0.0
global_mmlu_spanish	0.296	32.623	0.636	0.344	2.641	0.014	0.038	21.053
include_spanish	3.727	49.062	-0.195	0.09	1.143	0.0	0.182	47.368
mgsm_direct_es	0.016	1.732	0.411	0.154	224.386	0.0	0.0	10.526
openbookqa_es	13.4	7.146	0.539	0.484	4.014	0.6	1.25	0.0
paws_es	5.35	13.756	0.329	0.376	4.128	1.75	3.1	47.368
spabelebele	0.333	101.823	0.082	0.502	1.033	0.0	0.028	47.368
veritasqa_es_gen	9.741	2.052	-0.228	0.613	109.654	0.172	0.768	52.632
veritasqa_es_mc1	75.7	2.762	-0.279	0.677	3.63	25.212	28.683	0.0
veritasqa_es_mc2	79.013	4.132	-0.427	0.312	5.025	15.86	18.617	0.0
xnli_es	15.546	6.137	0.489	0.177	2.492	1.928	2.621	0.0
xquad_es	27.047	1.93	0.41	0.57	16.17	5.669	8.146	21.053
xstorycloze_es	14.527	8.193	0.904	0.675	2.268	4.698	5.576	0.0
