dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
cermat_czech_mc	-0.193	220.5	-0.292	0.352	0.851	0.0	0.019	68.421
cermat_czech_open	0.0	0.0		0.0		0.0	0.0	0.0
cermat_czech_tf	-9.196	400.851	0.215	0.278	0.387	0.0	0.0	57.895
cermat_czmath_mc	7.778	55.461	-0.185	0.293	1.719	0.0	0.397	31.579
cermat_czmath_open	0.006	2.144	0.196	-0.029	261.373	0.0	0.0	21.053
ces_subjectivity	18.976	6.307	-0.016	0.355	9.303	2.733	4.004	15.79
cesbelebele	-1.818	230.443	-0.054	0.255	0.371	0.0	0.113	63.158
cs_sqad32	32.468	18.655	0.852	0.634	19.139	0.357	0.586	15.79
ctkfacts_nli	-0.851	5.139	0.178	0.384	13.364	0.0	0.0	50.0
global_mmlu_czech	0.516	109.301	0.077	0.336	1.302	0.071	0.141	44.737
klokan_qa	2.677	39.552	0.252	0.127	3.642	0.247	0.341	76.316
sentiment_csfd	25.898	7.38	0.423	0.065	9.329	2.969	4.805	44.736
sentiment_fb	23.471	5.688	0.241	0.247	7.806	4.453	5.948	50.0
sentiment_mall	18.18	7.122	0.202	0.409	6.755	2.82	4.178	36.842
umimeto	3.571	66.948	-0.085	0.246	2.054	0.357	0.642	76.316
