dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
flores_en-gl	16.418	2.898	-0.621	0.989	36.398	0.056	0.093	47.368
galcola	0.048	1.013	-0.178	-0.051	82.044	0.008	0.014	47.368
glgbelebele	4.444	30.202	0.393	0.65	3.554	0.277	0.389	42.105
mgsm_direct_gl	0.004	1.732	0.093	0.078	167.163	0.0	0.0	23.684
openbookqa_gl	13.6	6.726	-0.017	0.78	3.101	3.15	4.225	0.0
parafrases_gl	10.544	19.16	-0.271	0.666	3.675	1.616	2.211	23.684
paws_gl	5.5	19.0	-0.16	0.319	2.581	1.025	2.1	44.736
veritasqa_gl_gen	7.733	3.031	0.16	0.71	34.465	0.39	0.589	36.842
veritasqa_gl_mc1	71.957	3.605	-0.397	0.471	29.0	8.569	15.404	44.736
veritasqa_gl_mc2	73.522	5.923	-0.227	0.602	12.178	6.622	9.053	31.579
