dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
norbelebele	3.0	20.571	-0.474	0.18	2.548	1.139	1.611	63.158
norcommonsenseqa_nno	16.842	5.68	0.268	0.316	7.14	3.684	4.342	13.157
norcommonsenseqa_nob	22.996	4.485	0.818	0.441	4.08	4.534	4.972	0.0
norec_sentence	24.083	6.589	0.006	0.204	7.979	2.71	4.329	10.526
noridiom_nno	67.453	2.507	0.84	0.591	9.92	11.435	13.901	44.736
noridiom_nob	42.418	2.115	0.125	0.505	7.116	10.313	12.512	39.474
noropenbookqa_nno	26.667	6.538	0.131	0.126	5.169	4.166	4.584	23.684
noropenbookqa_nob	32.406	5.161	0.616	0.46	3.609	8.021	8.689	0.0
norquad	32.849	3.735	0.825	0.753	18.019	3.475	4.939	50.0
nortruthfulqa_gen_nno	12.567	2.342	-0.179	0.484	14.106	2.548	3.569	23.684
nortruthfulqa_gen_nob	13.838	2.329	-0.157	0.376	10.7	3.89	4.701	10.526
nortruthfulqa_mc_nno	49.124	3.931	0.558	0.533	13.446	7.456	9.868	57.895
nortruthfulqa_mc_nob	52.264	3.787	0.592	0.735	10.358	6.046	8.069	39.474
nrk_quiz_qa_nno	22.563	5.353	0.865	0.742	5.179	2.839	3.703	0.0
nrk_quiz_qa_nob	18.923	6.248	0.962	0.765	4.928	1.382	1.753	0.0
tatoeba_eng_nno	28.332	2.911	0.93	0.559	60.12	1.552	3.012	28.947
tatoeba_eng_nob	25.781	2.309	0.895	0.258	58.104	1.781	3.642	60.526
