dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
cermat_czech_mc	-0.501	1209550111.783	-0.688	0.268	0.514	0.0	0.0	60.0
cermat_czech_open	0.0	0.0		0.0		0.0	0.0	0.0
cermat_czech_tf	-9.042	529.183	0.079	0.413	0.378	0.0	0.0	50.0
cermat_czmath_mc	6.984	68.145	-0.28	0.293	1.28	0.0	0.0	26.666
cermat_czmath_open	0.0	0.0		-0.083		0.0	0.0	6.666
ces_subjectivity	13.283	7.625	0.227	0.444	11.837	1.527	2.713	13.334
cesbelebele	-1.932	327.528	-0.141	0.31	0.42	0.0	0.071	60.0
cs_sqad32	18.846	15.862	0.962	0.022	14.834	0.234	0.304	13.333
ctkfacts_nli	-4.489	5.67	-0.217	0.317	15.4	0.406	1.015	56.667
global_mmlu_czech	-1.385	101.559	-0.298	0.444	1.379	0.118	0.18	36.666
klokan_qa	0.57	85.37	-0.243	0.37	1.693	0.248	0.387	70.0
sentiment_csfd	15.428	14.312	0.394	0.556	5.728	2.155	3.318	46.666
sentiment_fb	16.983	7.933	0.428	0.667	4.751	3.814	4.887	6.666
sentiment_mall	15.479	8.767	0.347	0.4	4.706	3.197	4.225	13.333
umimeto	2.143	112.879	0.194	0.224	1.651	0.393	0.607	86.666
