dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
cocoteros_es	1.407	1.97	0.089	0.333	46.227	0.157	0.254	30.0
copa_es	46.4	148.417	0.962	0.514	2.254	0.25	0.525	40.0
escola	0.026	1.925	0.439	0.135	59.698	0.009	0.018	50.0
flores_en-es	17.938	2.119	0.941	0.578	41.491	1.595	2.56	30.0
global_mmlu_spanish	-1.321	119.147	-0.1	0.184	0.986	0.007	0.018	23.334
include_spanish	3.545	49.19	-0.191	0.196	0.863	0.091	0.091	43.334
mgsm_direct_es	0.004	0.0	-0.012	0.226	163.421	0.0	0.0	10.0
openbookqa_es	11.0	9.082	0.767	0.255	2.798	0.35	0.725	0.0
paws_es	4.65	12.061	-0.067	0.394	3.592	2.4	2.888	13.333
spabelebele	-1.333	98.737	0.348	0.472	1.36	0.056	0.056	43.333
veritasqa_es_gen	3.555	1.915	-0.192	0.422	73.678	0.296	0.669	20.0
veritasqa_es_mc1	75.7	2.757	0.643	0.126	0.145	29.532	32.294	0.0
veritasqa_es_mc2	79.669	3.78	0.407	0.289	2.844	19.865	21.536	0.0
xnli_es	15.345	6.46	0.812	0.671	1.785	2.268	2.751	0.0
xquad_es	18.772	1.964	0.858	0.2	16.76	3.532	5.115	16.666
xstorycloze_es	11.747	9.138	0.948	0.222	1.583	4.848	5.402	0.0
