Language,Dataset,Harness,Code,Train,Dev,Test,Prompts,Type,Category,Method,Metrics,HF
Norwegian,NoReC Sentence ,norec_sentence,nob_Latn,3894,701,583,5,Text classification,Sentiment analysis,Human-created,F1/Accuracy,https://huggingface.co/datasets/ltg/norec_sentence
Norwegian,NoReC Document ,norec_document,nob_Latn,23445,2939,2955,5,Text classification,Sentiment analysis,Human-created,F1/Accuracy,https://huggingface.co/datasets/ltg/norec_document
Norwegian,NorQuAD ,norquad,nob_Latn,3808,472,472,5,Generative QA,Reading comprehension,Human-created,F1/Exact match,https://huggingface.co/datasets/ltg/norquad
Norwegian,Belebele ,norbelebele,nob_Latn,0,0,900,5,Multiple-choice QA,Reading comprehension,Human-translated,Accuracy,https://huggingface.co/datasets/facebook/belebele
Norwegian,Tatoeba,tatoeba_eng_nob,nob_Latn,0,5.2k,4.5k,4,Sequence-to-sequence generation,Machine translation,Human-created,"BLEU, BERTScore",https://huggingface.co/datasets/Helsinki-NLP/tatoeba_mt
Norwegian,Tatoeba,tatoeba_eng_nno,nno_Latn,0,504,459,4,Sequence-to-sequence generation,Machine translation,Human-created,"BLEU, BERTScore",https://huggingface.co/datasets/Helsinki-NLP/tatoeba_mt
Norwegian,NorOpenBookQA ,noropenbookqa_nob,nob_Latn,2.8k,0,163,5,Multiple-choice QA,Language-specific & world knowledge,Human-created & human-translated,Accuracy,https://huggingface.co/datasets/ltg/noropenbookqa
Norwegian,NorOpenBookQA ,noropenbookqa_nno,nno_Latn,0,376,90,5,Multiple-choice QA,Language-specific & world knowledge,Human-created & human-translated,Accuracy,https://huggingface.co/datasets/ltg/noropenbookqa
Norwegian,NRK-Quiz-QA ,nrk_quiz_qa_nob,nob_Latn,0,0,3.6k,5,Multiple-choice QA,Language-specific & world knowledge,Human-created,Accuracy,https://huggingface.co/datasets/ltg/nrk_quiz_qa
Norwegian,NRK-Quiz-QA ,nrk_quiz_qa_nno,nno_Latn,0,0,1.3k,5,Multiple-choice QA,Language-specific & world knowledge,Human-created,Accuracy,https://huggingface.co/datasets/ltg/nrk_quiz_qa
